Age,Grade Level,SL Used,Used assistive comm device before?,Ease of Use,Comfort,Ease of learning,Accuracy,Precision,Clarity,Satisfication,Use again?,Help others?
10,4,FSL,No,5,4,4,5,4,5,4,Yes,Yes
14,6,fsl,No,5,4,4,5,5,4,4,Yes,Yes
22,4,FSL,NO,5,4,4,5,4,5,4,Yes,Yes
18,6,FSL,no,5,4,4,5,5,4,4,Yes,Yes
14,5,FSL,No,5,4,4,5,5,4,4,Yes,Yes
13,5,fsl,No,5,4,4,5,5,4,4,Yes,Yes
16,6,FSL,NO,5,4,4,5,5,4,4,Yes,Yes
14,6,FSL,no,5,4,4,5,5,4,4,Yes,Yes
11,2,FSL,No,5,4,3,2,4,4,4,Yes,Yes
11,1,fsl,No,5,4,3,2,4,4,4,Yes,Yes
11,1,FSL,NO,5,4,3,2,4,4,4,Yes,Yes
11,2,FSL,no,5,4,3,2,4,3,2,Yes,Yes
11,1,FSL,No,5,4,3,2,4,3,2,Yes,Yes
11,1,fsl,No,5,4,3,2,4,4,4,Yes,Yes
11,1,FSL,NO,5,4,4,5,5,4,4,Yes,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
